category,subcategory,name,sku,price,old_price,discount,rating,reviews,parsed_date,product_url
Кольца,Женские кольца,Золотое кольцо с сапфиром выращенным и бриллиантами,1978724,12 790 ₽,25 580 ₽,−50%,5,42,2025-08-28,https://www.585zolotoy.ru/catalog/products/1978724
Кольца,Мужские кольца,Золотое обручальное кольцо,9001102,12 347 ₽,44 900 ₽,−73%,5,46,2025-08-28,https://www.585zolotoy.ru/catalog/products/9001102
Кольца,Широкие кольца,Золотое кольцо с бриллиантами,1553012,41 495 ₽,165 980 ₽,−75%,5,31,2025-08-28,https://www.585zolotoy.ru/catalog/products/1553012
Тренды ювелирных украшений,Ювелирная база,Золотое кольцо с премиум цирконием,9002261,13 990 ₽,27 980 ₽,−50%,5,21,2025-08-28,https://www.585zolotoy.ru/catalog/products/9002261
Тренды ювелирных украшений,Ювелирная база,Золотое кольцо с бриллиантом,1847403,9 990 ₽,,,5,235,2025-08-28,https://www.585zolotoy.ru/catalog/products/1847403
Кольца,Кольца из красного золота,Золотое кольцо с бриллиантами,1504126,22 990 ₽,45 980 ₽,−50%,5,48,2025-08-28,https://www.585zolotoy.ru/catalog/products/1504126
Тренды ювелирных украшений,Ювелирная база,Золотое кольцо с фианитом,1665384,9 990 ₽,19 980 ₽,−50%,5,4,2025-08-28,https://www.585zolotoy.ru/catalog/products/1665384
Тренды ювелирных украшений,Ювелирная база,Золотое кольцо с бриллиантами,1224216,34 990 ₽,69 980 ₽,−50%,5,85,2025-08-28,https://www.585zolotoy.ru/catalog/products/1224216
Кольца,Кольца из красного золота,Золотое обручальное кольцо с бриллиантами,9001208,20 619 ₽,74 980 ₽,−73%,5,36,2025-08-28,https://www.585zolotoy.ru/catalog/products/9001208
Кольца,Кольца из красного золота,Золотое кольцо,1977945,25 839 ₽,93 950 ₽,−72%,5,26,2025-08-28,https://www.585zolotoy.ru/catalog/products/1977945
